file,best_acc,best_epoch,source_train_loss,source_train_acc,source_val_loss,source_val_acc,target_val_loss,target_val_acc,model_name,data_name,data_dir,transfer_task,normlizetype,cuda_device,checkpoint_dir,pretrained,batch_size,num_workers,bottleneck,bottleneck_num,last_batch,distance_metric,distance_loss,trade_off_distance,lam_distance,domain_adversarial,adversarial_loss,hidden_size,trade_off_adversarial,lam_adversarial,opt,lr,momentum,weight_decay,lr_scheduler,gamma,steps,middle_epoch,max_epoch,print_step
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215507/train.log,0.7812,137,0.6804,1.0,0.0676,0.9922,10.9924,0.4766,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,DA,1536,Step,1,sgd,0.1,0.9,0.001,step,0.1,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215538/train.log,0.7969,156,0.6188,1.0,0.0068,1.0,4.3241,0.7656,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,DA,1536,Step,1,sgd,0.1,0.9,0.001,exp,0.99,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215608/train.log,0.7812,229,0.6238,1.0,0.0079,0.9922,7.961,0.7734,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,DA,1536,Step,1,adam,0.001,0.9,1e-05,step,0.1,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215637/train.log,0.7812,196,0.6721,1.0,0.0009,1.0,11.437,0.5,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,DA,1536,Step,1,adam,0.001,0.9,1e-05,exp,0.99,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215707/train.log,0.7891,159,0.6925,1.0,0.1444,0.9844,7.1858,0.6719,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,DA,1536,Step,1,adam,0.001,0.9,1e-05,stepLR,0.1,200,50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215737/train.log,0.7734,162,0.6618,0.998,0.5415,0.9688,7.2458,0.6953,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,CDA,1536,Step,1,sgd,0.1,0.9,0.001,step,0.1,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215804/train.log,0.7734,117,0.6119,1.0,0.0682,0.9844,3.4712,0.7734,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,CDA,1536,Step,1,sgd,0.1,0.9,0.001,exp,0.99,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-215948/train.log,0.7891,113,0.6335,1.0,0.0133,0.9922,11.1632,0.7578,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,CDA,1536,Step,1,adam,0.001,0.9,1e-05,step,0.1,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-220051/train.log,0.7969,138,0.6234,1.0,0.0568,0.9922,4.9827,0.75,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,CDA,1536,Step,1,adam,0.001,0.9,1e-05,exp,0.99,"150,250",50,300,50
./checkpoint/canshutiaozheng3/resnet_features_1d_0429-220128/train.log,0.7734,271,0.617,1.0,0.0896,0.9922,10.7352,0.7656,resnet_features_1d,XJTU,/root/autodl-tmp/datasets/XJTU-SY_Bearing_Datasets,"[[0], [1]]",0-1,0,./checkpoint/canshutiaozheng3,False,512,0,True,256,False,False,MK-MMD,Step,1,True,CDA,1536,Step,1,adam,0.001,0.9,1e-05,stepLR,0.1,200,50,300,50
