model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
resnet_features_1d,CWRU,TimeSeries,0,"[[0], [1]]",0.7086 ,1.0000 ,0.0005 ,1.0000 ,0.0002 ,1.0000 
resnet_features_1d,CWRU,TimeSeries,0,"[[0], [2]]",0.707,1,0.0002,1,0.0033,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0], [3]]",0.7036,1,0.0003,1,0.0437,0.9871
resnet_features_1d,CWRU,TimeSeries,0,"[[1], [0]]",0.6941,1,0.0005,1,0.0272,0.9962
resnet_features_1d,CWRU,TimeSeries,0,"[[1], [2]]",0.6941,1,0.0001,1,0.0001,1
resnet_features_1d,CWRU,TimeSeries,0,"[[1], [3]]",0.6942,1,0.0000 ,1,0.0017,1
resnet_features_1d,CWRU,TimeSeries,0,"[[2], [0]]",0.6942,1,0.0007,1,0.0523,0.09923
resnet_features_1d,CWRU,TimeSeries,0,"[[2], [1]]",0.6938,1,0.0000 ,1,0.0001,1
resnet_features_1d,CWRU,TimeSeries,0,"[[2], [3]]",0.6931,1,0.0000 ,1,0.0391,0.9968
resnet_features_1d,CWRU,TimeSeries,0,"[[3], [0]]",0.6941,1,0.0004,1,0.0041,1
resnet_features_1d,CWRU,TimeSeries,0,"[[3], [1]]",0.6924,1,0.0027,1,0.0093,0.9935
resnet_features_1d,CWRU,TimeSeries,0,"[[3], [2]]",0.6927,1,0.0009,1,0.0000 ,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0, 1], [2]]",0.6935,1,0.0000 ,1,0.0001,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0, 1], [3]]",0.6923,1,0.0000 ,1,0.00003,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0, 2], [1]]",0.6923,1,0.0000 ,1,0,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0, 2], [3]]",0.6934,1,0.0000 ,1,0.0025,1
resnet_features_1d,CWRU,TimeSeries,0,"[[0, 3], [1]]",0.6914,1,0.0004,1,0.0037,0.9968
